key,speaker,trigger,weight,line
valdris_run_start_1,valdris,run_start,1.0,Another descent. The anvil remembers every one.
smithshade_return_1,smithshade,hub_return,1.0,"Back again, and in fewer pieces than I feared."
valdris_run_start_2,valdris,run_start,0.5,Stand behind me. It is the safest place left in the world. The bar is low.
valdris_low_hp_1,valdris,low_hp,1.0,"Cracks in the armor. The anvil has seen worse. On me, mostly."
valdris_downed_1,valdris,downed,1.0,Down. Not done. Lift with your legs. I am heavy.
valdris_revived_ally_1,valdris,revived_ally,1.0,Up. The wall needs every stone.
valdris_death_1,valdris,death,1.0,Tell the Smithshade... hit harder this time.
valdris_victory_1,valdris,victory,1.0,The mountain stands. Someone find me a chair that will hold.
valdris_anvil_hot_1,valdris,anvil_hot,1.0,Anvil's hot! Forge. I'll hold the door.
valdris_ult_ready_1,valdris,ult_ready,1.0,Colossus Cannon ready! Mountainfall on your word.
valdris_ping_danger_1,valdris,ping_danger,1.0,Danger. Get behind me.
valdris_ping_loot_1,valdris,ping_loot,1.0,Parts here. Take them. I'll carry the rest of you.
valdris_ally_same_character_1,valdris,ally_same_character,1.0,Another of me. The Unmade should have stayed home.
valdris_ally_same_character_2,valdris,ally_same_character,0.5,More of me. Good. A wall is better with more wall.
valdris_kill_streak_1,valdris,kill_streak,1.0,They keep walking into the wall. I keep being the wall.
valdris_boss_intro_1,valdris,boss_intro,1.0,Big. Good. Big things fall loud.
valdris_boss_kill_1,valdris,boss_kill,1.0,"It fell. Mountains always do, in the end. I would know."
valdris_forge_fuse_1,valdris,forge_fuse,1.0,"Two into one. Stronger for it. Like me, after every death."
valdris_forge_godforged_1,valdris,forge_godforged,1.0,Gold. The Smithshade will pretend he isn't proud.
valdris_overdrive_1,valdris,overdrive,1.0,"Overdrive! Forward, all of you. The wall is advancing."
valdris_hub_return_1,valdris,hub_return,1.0,Home. The anvil is warmer than the welcome. Both are enough.
selene_run_start_1,selene,run_start,1.0,Try to keep up. And try not to stand where I'm aiming.
selene_room_clear_1,selene,room_clear,1.0,"Silence. My second favorite sound, after thunder."
selene_low_hp_1,selene,low_hp,1.0,I'm fine. This is a strategic amount of bleeding.
selene_downed_1,selene,downed,1.0,This is humiliating. Revive me before anyone important notices.
selene_revived_ally_1,selene,revived_ally,1.0,Up you get. You owe me a storm.
selene_forge_reroll_1,selene,forge_reroll,1.0,No. Again. The anvil knows exactly what I deserve.
selene_synergy_1,selene,synergy,1.0,"Your element, my lightning. You're welcome."
selene_overdrive_1,selene,overdrive,1.0,Overdrive! Let the heavens take notes.
selene_kill_streak_1,selene,kill_streak,1.0,Another screen deleted. Do try to look impressed.
selene_boss_intro_1,selene,boss_intro,1.0,You're the finale? I've struck taller steeples.
selene_boss_kill_1,selene,boss_kill,1.0,And that is the end of your phase. And your everything.
selene_death_1,selene,death,1.0,Tell them the sky took me. Not... whatever that was.
selene_victory_1,selene,victory,1.0,Obviously. Write it down: Selene did most of it.
selene_anvil_hot_1,selene,anvil_hot,1.0,Anvil's hot! Guard me while I make this weapon worthy of me.
selene_ult_ready_1,selene,ult_ready,1.0,Heaven's Verdict is ready. Stand in my storm and you'll hit harder.
selene_ping_danger_1,selene,ping_danger,1.0,Danger there! Keep it off me. I break.
selene_ping_loot_1,selene,ping_loot,1.0,Loot! Bring it here. I'll make it famous.
selene_ally_same_character_1,selene,ally_same_character,1.0,"Another Selene? Finally, someone who can keep up."
selene_ally_same_character_2,selene,ally_same_character,0.5,Two storms in one sky. One of us is the lesser storm. It isn't me.
kael_run_start_1,kael,run_start,1.0,Full mag. One life. Somebody else's.
kael_room_clear_1,kael,room_clear,1.0,Quiet. Keep moving.
kael_low_hp_1,kael,low_hp,1.0,Bleeding. Been worse. Been dead.
kael_downed_1,kael,downed,1.0,Down. Save a bullet for whatever did it.
kael_revived_ally_1,kael,revived_ally,1.0,On your feet. Dying's my trick.
kael_forge_reroll_1,kael,forge_reroll,1.0,Again. Luck owes me.
kael_forge_godforged_1,kael,forge_godforged,1.0,Gold. Suits me.
kael_synergy_1,kael,synergy,1.0,Nice. Do that again.
kael_kill_streak_1,kael,kill_streak,1.0,Didn't miss. Not starting now.
kael_boss_kill_1,kael,boss_kill,1.0,Big ones drop the same. Louder.
kael_death_1,kael,death,1.0,Figures. Reload me.
kael_victory_1,kael,victory,1.0,Walked out. Nobody walks out. Huh.
kael_hub_return_1,kael,hub_return,1.0,Back. Nobody missed me. Good.
kael_anvil_hot_1,kael,anvil_hot,1.0,Anvil's hot. Make it quick.
kael_ult_ready_1,kael,ult_ready,1.0,Bullet Ballet's loaded. Say when.
kael_ping_danger_1,kael,ping_danger,1.0,Danger. There.
kael_ping_loot_1,kael,ping_loot,1.0,Parts. Grab 'em.
kael_ally_same_character_1,kael,ally_same_character,1.0,Another me. One of us is the ghost. Don't ask which.
kael_ally_same_character_2,kael,ally_same_character,0.5,More ghosts. Crowded afterlife.
thessaly_run_start_1,thessaly,run_start,1.0,"Turrets primed, hexes wound, will unwritten. Shall we?"
thessaly_room_clear_1,thessaly,room_clear,1.0,Room's clear. Recalibrating the curse. And my nerves.
thessaly_low_hp_1,thessaly,low_hp,1.0,"Structural integrity: questionable. Mine, specifically."
thessaly_downed_1,thessaly,downed,1.0,Minor design flaw. I'm the flaw. Tether me.
thessaly_revived_ally_1,thessaly,revived_ally,1.0,Patched. Don't make me void your warranty.
thessaly_forge_fuse_1,thessaly,forge_fuse,1.0,"Two parts, one purpose. If it hums, that's normal. If it sings, run."
thessaly_forge_godforged_1,thessaly,forge_godforged,1.0,Godforged. I'd kill for the schematics. I'd settle for surviving it.
thessaly_recipe_discovered_1,thessaly,recipe_discovered,1.0,A new recipe! Someone write it down before it writes us down.
thessaly_synergy_1,thessaly,synergy,1.0,Curse plus element. Beautiful arithmetic. Terrible for them.
thessaly_kill_streak_1,thessaly,kill_streak,1.0,The curse is compounding. I do love a good interest rate.
thessaly_boss_intro_1,thessaly,boss_intro,1.0,"Big, loud and badly engineered. Let's file a complaint."
thessaly_death_1,thessaly,death,1.0,Well. That's one way to test the failsafe.
thessaly_victory_1,thessaly,victory,1.0,Everything I built worked. Mark the date. It won't happen twice.
thessaly_anvil_hot_1,thessaly,anvil_hot,1.0,Anvil's hot! Hands off my wiring and cover me.
thessaly_ult_ready_1,thessaly,ult_ready,1.0,"Sabbath of Sparks is ready. Turrets, Echoes: everyone gets a turn."
thessaly_ping_danger_1,thessaly,ping_danger,1.0,Danger! Reads as angry. Very angry.
thessaly_ping_loot_1,thessaly,ping_loot,1.0,Salvage here. I can make that someone else's problem.
thessaly_ally_same_character_1,thessaly,ally_same_character,1.0,"Another me. At last, a colleague who reads the manual."
thessaly_ally_same_character_2,thessaly,ally_same_character,0.5,"More of me, one budget. We'll be arguing about wiring by the second room."
brax_run_start_1,brax,run_start,1.0,"Oh, I love this part! The part where we punch everything!"
brax_room_clear_1,brax,room_clear,1.0,"Aw, all gone already? I was just warming up!"
brax_low_hp_1,brax,low_hp,1.0,Ha! Getting a bit crispy! Still punching!
brax_downed_1,brax,downed,1.0,I'm fine! I'm lying down on purpose! ...Little help?
