key,name,title,role,phase,fantasy,color,stats.max_hp,stats.move_speed,stats.dash_charges,stats.dash_recharge,stats.radius,stats.ult_per_damage,signature_chassis,passive,active1,active2,ultimate,coop_role,skins,sigils
valdris,Valdris,The Anvil-Born,Juggernaut / Anchor,P0,"Walking siege engine. Slow, unkillable, hits like a collapsing temple.",#C8A25A,320,5.6,2,1.2,0.55,0.000385,colossus_cannon,"Reforged Flesh: damage taken converts to Armor (max 50% mitigation). When armor breaks, emits a shockwave taunt.","Bulwark Slam: leap-slam, stun + raise a forge barricade that blocks projectiles.","Siege Stance: immobile; fire rate +120%, incoming damage −40%, enemies target you.","Mountainfall: become a colossal anvil-avatar for 8s; every shot is an exploding boulder, ground pounds chain.","Aggro anchor, protects forge moments, enables glass-cannon teammates.",Anvil-Born; Molten Oathkeeper; Last Bastion,sigil_anvilheart; sigil_quaking_step; sigil_colossal_echo
selene,Selene,The Stormcaller,Glass Cannon / Blaster,P1,"Lightning in human shape. Deletes screens, dies if touched.",#6FE3FF,190,7.0,2,1.0,0.42,0.0005,thundercoil_launcher,"Static Charge: movement builds charge; next Active deals bonus damage and chains.","Arc Nova: chain-lightning burst scaling with weapon fire rate.","Blink: teleport through enemies, leaving a storm trail.","Heaven's Verdict: call a moving thunderstorm front that supercharges all allies' projectiles inside it.","Wave clear, ultimate battery, the one who ends the boss phase.",Stormcaller; Eye of the Tempest; Skybreaker,sigil_cadence; sigil_static_bloom; sigil_skyrender
kael,Kael,The Wraithshot,Agile Duelist / Crit,P1,"Ghost gunslinger. Never stops moving, never misses twice.",#9A7CFF,220,7.2,3,0.9,0.44,0.00042,serpent_smg,"Ghost Step: each kill grants a short dash refresh + stacking crit chance (decays).","Fan of Blades: shotgun-like spectral burst, applies Mark (crits on Marked = execute below 15% HP).","Shadow Roll: roll with i-frames, auto-reload and next 3 shots pierce.","Bullet Ballet: 6s of infinite dash + twin spectral pistols that copy your current Mechanism.","Flanker, elite hunter, mobile reviver.",Wraithshot; Midnight Duelist; Grave Dancer,sigil_nightfall; sigil_silent_edge; sigil_ghostlight
thessaly,Thessaly,The Hexweaver,Support / Summoner,EA,"Witch-engineer who turns the battlefield into a cursed machine.",#7ED957,230,6.4,2,1.1,0.45,0.00045,wraith_bow,"Curse Weaver: debuffed enemies take +25% damage from all allies.","Forge Turret: deploy a turret copying your current weapon's Core + Mechanism at 40% power.","Binding Hex: root field; enemies killed inside drop extra parts.","Sabbath of Sparks: all turrets and Echoes gain +200% fire rate; allies gain lifesteal vs cursed targets.","Force multiplier, resource engine, area denial.",Hexweaver; Coven Engineer; Witchlight,sigil_hexlace; sigil_tinkers_grace; sigil_bound_souls
brax,Brax,The Furnace-Born,Brawler / Melee,EA,"Bare-knuckle demigod with forge-gauntlets. For Brax, punching is the build.",#FF7A3D,300,6.2,2,1.1,0.52,0.0004,anvil_gauntlets,"Heat Gauge: sustained fire builds Heat; at max, attacks ignite and stagger, and Brax takes reduced burn damage.","Cinder Uppercut: launch enemies skyward, follow-up slam spawns flame geysers.","Furnace Rush: charge through a horde line, dragging enemies with you.","Meltdown: 8s of molten fists — melee strikes emit shockwaves that copy your current Mechanism.","Crowd control, frontline DPS, pairs with Valdris for unbreakable walls.",Furnace-Born; Slagfist; Ember Pugilist,sigil_furnace_heart; sigil_iron_knuckle; sigil_meltpoint
ossian,Ossian,The Far-Struck,Artillery / Sniper,EA,"The hunt-god's last archer. Deletes what he can see, helpless when surrounded.",#E8E1C0,200,6.3,2,1.1,0.44,0.00042,longstrider_rail,"Marked Quarry: damage stacks on a single target; switching targets resets. +30% damage to full-HP enemies.","Piercing Comet: charge shot that penetrates every enemy and wall in a line.","Skyhook Mortar: arcing lob that splits into bomblets on landing.","Rain of the Hunt: 5s of auto-crits on every Marked enemy, anywhere on screen.","Elite/boss deletion, priority-target control.",Far-Struck; Last Huntsman; Starfall Archer,sigil_huntmark; sigil_far_sight; sigil_patient_death
mirren,Mirren,The Gilded Fox,Trickster / Utility,EA,"Smiling thief of divine relics. To Mirren, the battlefield is a heist.",#FFCF4A,210,6.8,2,1.0,0.43,0.00045,coinshooter,"Fortune's Favor: +25% part drop quality; chance to duplicate forged parts.","Gilded Decoy: taunting clone that explodes into coins and shrapnel.","Snatch: teleport-strike that steals an elite's buff and applies it to yourself.","Grand Heist: 6s where every enemy killed drops bonus loot; all allies' next anvil actions are free.","Loot economy, chaos agent, run accelerant.",Gilded Fox; Velvet Heist; Coin-Saint,sigil_gilded_tongue; sigil_pickpocket; sigil_loaded_dice
epoch,Epoch,The Unwound,Chrono / Tempo,EA,"Walked out of a dead god's clock. Decides when things happen.",#B8C4D6,230,6.6,2,1.0,0.45,0.00045,pendulum_repeater,"Borrowed Time: cooldowns tick 40% faster while moving.","Still Field: bubble that slows enemies and projectiles inside.","Rewind Wounds: reverts an ally's damage taken over the last 3s (or your own).","Stolen Second: freeze enemies 2s; allies reposition freely; all ally cooldowns reset on expiry.","Tempo controller, cooldown battery, clutch saver.",Unwound; Clockwork Pilgrim; Last Minute,sigil_borrowed_hour; sigil_slow_rot; sigil_second_hand
fenra,Fenra,The Huntmother,Beastmaster,V1,"Raised a Chimera-pup on godflesh. It copies whatever she fires.",#C77D4A,240,6.6,2,1.1,0.46,0.00045,huntmother_javelins,"Pack Bond: your Chimera-pup copies your current Mechanism.","Sic 'Em: send the pup to maul a target.","Den Call: summon a howl that roots nearby enemies.","Wild Hunt: the pup grows colossal for 8s.","Pet-based sustained DPS, elite pressure.",Huntmother,
lyra,Lyra,of the Last Chorus,Bard / Buffer,V1,"The last voice of a choir that sang the gods to sleep.",#F39AD0,210,6.6,2,1.0,0.43,0.0005,chorus_harp,"Crescendo: damage auras scale with ally kill-streaks.","Hymn of Haste: allies gain fire rate.","Dirge: enemies nearby are cursed.","Last Chorus: every ally's damage is amplified for 8s.","Team amplifier, streak engine.",Last Chorus,
