key,name,kind,gods,phase,weight,requires,mods,desc
pyra_wrathful_strike,Wrathful Strike,Standard,pyra,P1,1.0,,"Damage(1.2); ApplyStatus(status: Burn, chance: 0.15, stacks: 1, duration: 3.0)",Your weapon strikes with Pyra's fury.
zephyros_tailwind,Tailwind,Standard,zephyros,P1,1.0,,MoveSpeed(1.12); FireRate(1.08),Zephyros pushes at your back.
nyctia_umbral_edge,Umbral Edge,Standard,nyctia,P1,1.0,,CritChance(0.1); CritDamage(0.2),Strike from the dark.
pyra_pyre_eternal,Pyre Eternal,Legendary,pyra,EA,0.4,"FromGod(god: ""pyra"", count: 2)","ExplodeOnKill(chance: 0.5, radius: 2.6, damage: 1.2)",Every death feeds the pyre.
thunderburn,Thunderburn,Duo,pyra; zephyros,EA,0.6,"FromGod(god: ""pyra"", count: 1); FromGod(god: ""zephyros"", count: 1)","DamageVsStatus(status: Shock, mult: 1.25); ApplyStatus(status: Burn, chance: 0.3, stacks: 1, duration: 3.0)",Shock triggers burn.
bond_of_the_forge,Bond of the Forge,Team,,P1,0.5,,DashCharges(1),+1 dash charge for all.
pyra_kindling_volley,Kindling Volley,Standard,pyra,P1,1.0,,"FireRate(1.12); ApplyStatus(status: Burn, chance: 0.2, stacks: 1, duration: 3.0)",+12% fire rate; hits have a 20% chance to Burn.
pyra_cinder_bloom,Cinder Bloom,Standard,pyra,P1,1.0,,"ExplodeOnKill(chance: 0.25, radius: 2.0, damage: 0.7)",Kills have a 25% chance to burst into flame for 70% weapon damage.
pyra_blastfire_rounds,Blastfire Rounds,Standard,pyra,P1,1.0,,"Explode(radius: 1.5, damage: 0.35)","Shots explode on impact, dealing 35% of the hit to everything nearby."
pyra_flarestep,Flarestep,Standard,pyra,EA,1.0,,"DashNova(radius: 2.5, damage: 30.0, element: Flame, status: Burn)",Dashing releases a fire nova that deals 30 damage and sets enemies Burning.
pyra_scorched_heavens,Scorched Heavens,Standard,pyra,EA,1.0,,"UltCharge(1.12); UltGround(radius: 3.0, duration: 4.0, dps: 25.0, element: Flame)",+12% ultimate charge; ultimates leave burning ground (25 damage per second for 4 s).
pyra_cauterize,Cauterize,Standard,pyra,EA,1.0,,Regen(2.0),Your wounds sear shut: regenerate 2 HP per second.
pyra_conflagration,Conflagration,Standard,pyra,EA,1.0,,"ApplyStatus(status: Burn, chance: 0.3, stacks: 2, duration: 3.0)","Hits have a 30% chance to Burn, and your weapon's Burns land 2 stacks at once."
pyra_roaring_pyre,Roaring Pyre,Standard,pyra,EA,1.0,,Area(1.25),"Every explosion, pool and well your weapon creates is 25% wider."
pyra_furnace_rite,Furnace Rite,Standard,pyra,EA,1.0,,ActiveDamage(1.3),Your actives burn hotter: +30% active damage.
pyra_searing_brand,Searing Brand,Standard,pyra,EA,1.0,,"Damage(1.05); DamageVsStatus(status: Burn, mult: 1.2)","+5% damage, and +20% more against Burning enemies."
zephyros_stormbrand,Stormbrand,Standard,zephyros,P1,1.0,,"Damage(1.15); ApplyStatus(status: Shock, chance: 0.25, stacks: 1, duration: 2.0)",+15% damage; hits have a 25% chance to Shock.
zephyros_leaping_arc,Leaping Arc,Standard,zephyros,P1,1.0,,"Chain(jumps: 2, range: 4.5, falloff: 0.5)",Hits arc to 2 more enemies; each jump deals half the damage of the last.
zephyros_skystride,Skystride,Standard,zephyros,P1,1.0,,"DashNova(radius: 2.5, damage: 25.0, element: Storm, status: Shock)",Dashing cracks a thunderclap that deals 25 damage and Shocks enemies.
zephyros_quickening_gale,Quickening Gale,Standard,zephyros,EA,1.0,,FireRate(1.15); ProjectileSpeed(1.15),+15% fire rate; +15% projectile speed.
zephyros_updraft,Updraft,Standard,zephyros,EA,1.0,,DashRecharge(0.8); MoveSpeed(1.05),Dashes recharge 20% faster; +5% move speed.
zephyros_thunderhead,Thunderhead,Standard,zephyros,EA,1.0,,"UltGround(radius: 4.0, duration: 3.0, dps: 35.0, element: Storm)",Ultimates leave a crackling storm cell (35 damage per second for 3 s).
zephyros_rebounding_gale,Rebounding Gale,Standard,zephyros,EA,1.0,,"Ricochet(bounces: 1, range: 6.0); ProjectileSpeed(1.1)",Shots rebound to 1 more target; +10% projectile speed.
