key,tree,tier,name,cost,requires,effect,phase,desc
arsenal_spare_parts,Arsenal,1,Spare Parts,40,,BagCapacity(2),P1,Carry two more parts.
flesh_hardened,Flesh,1,Hardened,30,,Mods([MaxHealth(25.0)]),P1,+25 max health for every Godforged.
fate_rekindled,Fate,1,Rekindled,60,,Rekindles(1),P1,One more solo Rekindle per run.
bond_echo_resonance,Bond,1,Echo Resonance,50,,EchoPower(0.05),P1,Echo drones fight 5% harder.
arsenal_whetstone_rite,Arsenal,1,Whetstone Rite,35,,Mods([Damage(1.03)]),P1,+3% weapon damage. Sharpen before you descend; the Smithshade insists.
arsenal_greased_breech,Arsenal,1,Greased Breech,45,,Mods([FireRate(1.03)]),P1,+3% fire rate on every chassis.
arsenal_hairline_sights,Arsenal,1,Hairline Sights,55,,Mods([CritChance(0.02)]),P1,+2% crit chance.
arsenal_vessas_tab,Arsenal,1,Vessa's Tab,30,,StartShards(5),P1,Start each run with 5 more Godshards. Vessa keeps a tab; she never collects.
arsenal_godsbane_rifle,Arsenal,2,Godsbane Rifle,100,arsenal_hairline_sights,"Unlock(""godsbane_rifle"")",P1,Unlocks the Godsbane Rifle chassis (Forge Lv 3). The rifle that killed a god remembers how.
arsenal_sunspike_shotgun,Arsenal,2,Sunspike Shotgun,100,arsenal_greased_breech,"Unlock(""sunspike_shotgun"")",P1,Unlocks the Sunspike Shotgun chassis (Forge Lv 3). A fistful of sunlight at arm's length.
arsenal_riveted_satchel,Arsenal,2,Riveted Satchel,70,arsenal_spare_parts,BagCapacity(1),P1,Carry one more part.
arsenal_tempered_steel,Arsenal,2,Tempered Steel,90,arsenal_whetstone_rite,Mods([Damage(1.03)]),P1,+3% weapon damage.
arsenal_shard_pouch,Arsenal,2,Shard Pouch,65,arsenal_vessas_tab,StartShards(5),P1,Start each run with 5 more Godshards.
arsenal_skipstone,Arsenal,2,Skipstone,110,arsenal_whetstone_rite,"Unlock(""mech_skipstone"")",EA,"Unlocks the Skipstone mechanism, which can now drop in runs. Quick shots that skip off the first thing they hit."
arsenal_bellowfire_projector,Arsenal,3,Bellowfire Projector,180,arsenal_sunspike_shotgun,"Unlock(""bellowfire_projector"")",EA,"Unlocks the Bellowfire Projector chassis (Forge Lv 6). The furnace, breathed at the world."
