key,character,index,branch,name,cost,requires,mods,unlock,phase,desc
valdris_01,valdris,1,Bulwark,Thick Plate,20,,MaxHealth(20.0),,P1,+20 max health.
valdris_02,valdris,2,Bulwark,Riveted Hide,30,valdris_01,DamageTaken(0.98),,P1,Take 2% less damage. The Smithshade rivets what the Unmade tears.
valdris_03,valdris,3,Bulwark,Slag-Blood,45,valdris_02,Regen(0.4),,P1,Regenerate 0.4 health per second. Molten blood seals every crack.
valdris_04,valdris,4,Bulwark,Quenched Flesh,65,valdris_03,MaxHealth(20.0),,P1,"+20 max health. Plunged hissing into the trough, and harder for it."
valdris_05,valdris,5,Bulwark,Barricade Oath,90,valdris_04,MaxShield(20.0),,P1,"+20 shield, reforming after 4 seconds unhurt."
valdris_06,valdris,6,Bulwark,Anvil Stance,90,valdris_04,DamageTaken(0.97),,P1,"Take 3% less damage. Planted feet, lowered head."
valdris_07,valdris,7,Bulwark,Temple Pillar,125,valdris_05; valdris_06,MaxHealth(25.0),,P1,+25 max health. What falls on him breaks.
valdris_08,valdris,8,Bulwark,Warden of the Breach,170,valdris_07,MaxShield(20.0),,P1,+20 shield. Allies learn to fight in his shadow.
valdris_09,valdris,9,Bulwark,Mountain's Patience,230,valdris_08,DamageTaken(0.97); Regen(0.3),,P1,Take 3% less damage and regenerate 0.3 health per second.
valdris_10,valdris,10,Bulwark,Anvilheart,320,valdris_09,,sigil_anvilheart,P1,Unlocks the Sigil of the Anvilheart: Gaiaa's stone beats in your chest.
valdris_11,valdris,11,Siege,Breach Powder,25,,Damage(1.03),,P1,+3% weapon damage. Siege work starts with a heavier charge.
valdris_12,valdris,12,Siege,Ramming Shot,40,valdris_11,Knockback(1.15),,P1,+15% knockback. Send them back to the Unmaking.
valdris_13,valdris,13,Siege,Wide Bore,55,valdris_12,Area(1.05),,P1,+5% weapon area: every blast and splash lands wider.
valdris_14,valdris,14,Siege,Braced Tripod,80,valdris_13,FireRate(1.04),,P1,+4% fire rate. Siege Stance was only the beginning.
valdris_15,valdris,15,Siege,Slam Doctrine,110,valdris_14,ActiveDamage(1.05),,P1,+5% active ability damage. Bulwark Slam lands like a dropped bell.
valdris_16,valdris,16,Siege,Rampart Drill,110,valdris_14,CooldownRate(1.04),,P1,Actives recover 4% faster. Raise the barricade; raise it again.
valdris_17,valdris,17,Siege,Wallbreaker,150,valdris_15; valdris_16,DamageVsElites(1.05),,P1,+5% damage to elites and bosses. Walls fall; so do champions.
valdris_18,valdris,18,Siege,Crushing Weight,200,valdris_17,Damage(1.03); Knockback(1.1),,P1,+3% weapon damage and +10% knockback.
valdris_19,valdris,19,Siege,Tremor Drills,260,valdris_18,DashRecharge(0.95),,P1,Dashes recharge 5% faster. The ground learns his footfalls.
valdris_20,valdris,20,Siege,Quaking Step,360,valdris_19,,sigil_quaking_step,P1,Unlocks the Sigil of the Quaking Step: every dash lands like an earthquake.
valdris_21,valdris,21,Avatar,Mountain's Ember,30,,UltCharge(1.04),,P1,Ultimate charges 4% faster. The mountain stirs sooner.
valdris_22,valdris,22,Avatar,Colossal Frame,45,valdris_21,MaxHealth(15.0),,P1,+15 max health. Room for a god-sized heart.
valdris_23,valdris,23,Avatar,Boulder Arm,65,valdris_22,Area(1.04),,P1,+4% weapon area. Every shell lands like a boulder.
valdris_24,valdris,24,Avatar,Titan's Breath,95,valdris_23,UltCharge(1.05),,P1,Ultimate charges 5% faster.
valdris_25,valdris,25,Avatar,Landslide,130,valdris_24,ActiveDamage(1.05),,P1,+5% active ability damage.
valdris_26,valdris,26,Avatar,Bedrock Stride,130,valdris_24,MoveSpeed(1.03),,P1,"+3% move speed. Slow, but never stopped."
